age,income,gender_male,education,race_Non-Hispanic Asian,race_Non-Hispanic Black,race_Non-Hispanic White,race_Other Hispanic,race_Other Race,marital_status_Never married,marital_status_Widowed/Divorced/Separated,num_meals_not_home,num_meals_fast_food,num_ready_foods_30_days,num_frozen_foods_30_days,num_home_cook
0.2833333333333333,0.642,0,0.75,0,0,1,0,0,0,0,0.047619047619047616,0.0,0.0,0.0,0.9523809523809523
0.1,0.572,0,0.75,1,0,0,0,0,0,0,0.23809523809523808,0.23809523809523808,0.044444444444444446,0.1111111111111111,0.3682539682539682
0.08333333333333333,0.2,0,0.75,0,0,0,0,0,0,0,0.09523809523809523,0.09523809523809523,0.0,0.0,0.8095238095238095
0.25,0.33999999999999997,0,0.75,0,0,0,0,0,1,0,0.19047619047619047,0.19047619047619047,0.03333333333333333,0.022222222222222223,0.5634920634920636
0.36666666666666664,0.53,0,1.0,0,0,0,1,0,0,0,0.09523809523809523,0.09523809523809523,0.0,0.011111111111111112,0.7984126984126985
0.23333333333333334,0.506,1,1.0,0,1,0,0,0,0,0,0.3333333333333333,0.09523809523809523,0.044444444444444446,0.011111111111111112,0.5158730158730159
0.18333333333333332,0.71,1,0.75,1,0,0,0,0,0,0,0.19047619047619047,0.14285714285714285,0.011111111111111112,0.011111111111111112,0.6444444444444445
0.3,0.146,1,0.5,0,1,0,0,0,1,0,0.3333333333333333,0.14285714285714285,0.0,0.0,0.5238095238095237
0.5333333333333333,1.0,1,0.75,0,0,0,0,0,0,1,0.47619047619047616,0.09523809523809523,0.0,0.0,0.4285714285714286
0.08333333333333333,0.244,1,0.25,0,0,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.5,0.75,0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
0.16666666666666666,1.0,1,0.75,1,0,0,0,0,0,0,0.14285714285714285,0.047619047619047616,0.0,0.0,0.8095238095238094
0.08333333333333333,0.052000000000000005,0,0.25,0,1,0,0,0,1,0,0.0,0.0,0.044444444444444446,0.044444444444444446,0.9111111111111111
0.15,0.548,1,1.0,0,1,0,0,0,0,0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.9047619047619047
0.0,0.922,1,0.75,0,1,0,0,0,1,0,0.3333333333333333,0.19047619047619047,0.16666666666666666,0.0,0.3095238095238096
0.23333333333333334,0.178,0,0.0,0,0,1,0,0,0,1,0.09523809523809523,0.09523809523809523,0.0,0.011111111111111112,0.7984126984126985
0.15,0.122,0,0.75,0,1,0,0,0,1,0,0.19047619047619047,0.09523809523809523,0.011111111111111112,0.0,0.7031746031746032
0.016666666666666666,0.08199999999999999,0,0.5,0,0,0,1,0,1,0,0.09523809523809523,0.047619047619047616,0.03333333333333333,0.0,0.8238095238095238
0.21666666666666667,0.282,1,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
1.0,0.362,1,0.75,0,0,1,0,0,0,1,0.09523809523809523,0.0,0.0,0.03333333333333333,0.8714285714285714
1.0,0.738,1,0.0,0,0,1,0,0,0,1,0.0,0.0,0.011111111111111112,0.0,0.9888888888888889
0.6,0.636,1,0.5,0,1,0,0,0,0,0,0.14285714285714285,0.047619047619047616,0.011111111111111112,0.0,0.7984126984126984
0.45,0.738,1,0.75,0,1,0,0,0,0,0,0.3333333333333333,0.23809523809523808,0.05555555555555555,0.0,0.37301587301587297
